stringKey,stringContent
NAME_GAME_NAME,述途路人團·百分之一的困
NAME_1,樂之國
NAME_2,阿滿
NAME_2_EYE,阿滿之眼
NAME_AVATAR_1,閃電一號
NAME_AVATAR_2,軍師
NAME_AVATAR_3,陳小明
NAME_AVATAR_4,白丁
NAME_AVATAR_5,疾風
NAME_AVATAR_6,閃電二號
NAME_AVATAR_7,閃電三號
NAME_AVATAR_8,李歪脖
NAME_AVATAR_9,太陽女神
NAME_AVATAR_10,黏黏浮
NAME_AVATAR_11,黏黏生
NAME_AVATAR_12,黏黏爲
NAME_AVATAR_13,黏黏愛
NAME_AVATAR_14,黏黏擋
NAME_AVATAR_15,黏黏劫
NAME_AVATAR_16,黏黏不
NAME_AVATAR_17,黏黏惜
NAME_AVATAR_18,西暖心
NAME_AVATAR_19,發公主妹妹
NAME_AVATAR_19_2,秋宇
NAME_AVATAR_20,銀龍
NAME_AVATAR_21,黏黏萬
NAME_AVATAR_22,黏黏年
NAME_AVATAR_23,黏黏修
NAME_AVATAR_24,黏黏爲
NAME_AVATAR_25,哆國王
NAME_AVATAR_26,來皇后
NAME_AVATAR_27,咪公主姐姐
NAME_AVATAR_28,啦管家
NAME_AVATAR_29,嗦管家
NAME_AVATAR_30,揹包
NAME_AVATAR_31,記事本
NAME_AVATAR_32,{NAME_AVATAR_19}的信
NAME_AVATAR_33,三龍會
NAME_AVATAR_34,{NAME_AVATAR_33}的信
NAME_AVATAR_35,金赤童
NAME_AVATAR_36,密道
NAME_AVATAR_SHEEP,綿羊
NAME_AVATAR_HOLLY,冬青樹
GOODS_NAME_1,探路帆布鞋
GOODS_NAME_2,望遠鏡
GOODS_NAME_3,假髮
GOODS_NAME_4,假髮
GOODS_NAME_5,假髮
GOODS_NAME_6,假髮
GOODS_NAME_7,長假髮
GOODS_NAME_8,長假髮
GOODS_NAME_9,長假髮
GOODS_NAME_10,長假髮
GOODS_NAME_11,變色假髮
GOODS_NAME_HOUSEKEEPERKEY,{NAME_AVATAR_28}的鑰匙
GOODS_NAME_BUTLERKEY,{NAME_AVATAR_29}的鑰匙
GOODS_NAME_QUEENKEY,{NAME_AVATAR_26}的鑰匙
GOODS_NAME_NUMBERINGROD,編號棒
GOODS_DESCRIPTION_1,有了這雙鞋子，可以自動行走。
GOODS_DESCRIPTION_2,看的更遠，尤其是在光線不好的地方。
GOODS_DESCRIPTION_3,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_4,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_5,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_6,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_7,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_8,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_9,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_10,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_11,揹包可以攜帶很多物品，冒險之旅，遠足的必備工具。
GOODS_DESCRIPTION_12,記錄一路上的所見，所聞，所遇，所感。
GOODS_DESCRIPTION_18,{JOB_LOBBYIST}的。使用特殊材料製成。
GOODS_DESCRIPTION_HOUSEKEEPERKEY,攜帶時，可以打開{DOOR_1}。
GOODS_DESCRIPTION_BUTLERKEY,攜帶時，可以打開{DOOR_2}。
GOODS_DESCRIPTION_QUEENKEY,攜帶時，可以打開{SCENE_NAME_HALL_OF_MELODY}的門。
GOODS_DESCRIPTION_NUMBERINGROD,拍編號。
GOODS_IN_USE,使用中。
GOODS_UNUSED,未使用。
GOODS_TELESCOPE_VISUALFIELDDISTANCE,視野距離：%s。
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE,視野形狀：%s。
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_RHOMBUS,菱形
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_EGG,蛋形
GOODS_TELESCOPE_VISUALFIELDDISTANCE2,視野距離：%s（+%s）。
JOB_LOBBYIST,說客
PLAY_CHESS_NAME,對弈
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME}點數
SCENE_NAME_1_HOME,{NAME_AVATAR_1}的家
SCENE_NAME_3_HOME,{NAME_AVATAR_3}的家
SCENE_NAME_4_HOME,{NAME_AVATAR_4}的家
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3}家的院子
SCENE_NAME_CHORD_SQUARE,和絃廣場
SCENE_NAME_STAVE_AVENUE,五線譜大道
SCENE_NAME_HALL_OF_MELODY,旋律大殿
SCENE_NAME_CLINKER_VALLEY,走音峽谷
SCENE_NAME_CRACKING_VOICE_RIDGE,破音嶺
SCENE_NAME_GRASSLAND,足球場
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1}家的門
NPCARTICLETRIGGER_NAME_2,{NAME_AVATAR_3}家的門
NPCARTICLETRIGGER_NAME_3,{NAME_AVATAR_4}家的門
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,加載遊戲
STARTGAMEPANEL_STARTGAME,開始遊戲
STARTGAMEPANEL_CONTINUEGAME,繼續遊戲
STARTGAMEPANEL_COMMONBUTTON31OPTION,選項
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,退出遊戲
STARTGAMEPANEL_COMMONLABELARCHIVE,存檔
STARTGAMEPANEL_ARCHIVE_NEW_GAME,新遊戲
STARTGAMEPANEL_ARCHIVE_CLEAR,刪除
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,刪除存檔%s二次確認
PANEL_BUTTON_OK,確定
PANEL_BUTTON_CANCEL,取消
PANEL_BUTTON_CLOSE,關閉
PANEL_BUTTON_YES,是
PANEL_BUTTON_NO,否
OPTIONPANEL_COMMONLABEL31TITLE,選項界面
OPTIONPANEL_COMMONBUTTONLANGUAGE,選擇語言（Language）
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,圖像分辨率：
OPTIONPANEL_COMMONLABELFULLSCREEN,全屏：
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,畫面拉伸：
OPTIONPANEL_COMMONLABELMUSIC,音樂：
OPTIONPANEL_COMMONLABELSOUNDEFFECT,音效：
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_SCREEN_RESOLUTION,屏幕分辨率
OPTIONPANEL_COMMONLABELLANGUAGE,語言：
OPTIONPANEL_COMMONBUTTONDEFAULT,默認
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,回到大廳
OPTIONPANEL_COMMONBUTTONEXITGAME,退出遊戲
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,返回遊戲
OPTIONPANEL_GENERAL,通用
OPTIONPANEL_KEYBOARD,按鍵
OPTIONPANEL_KEYBOARD_MOVE,移動：
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW（或←→↓↑）
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_INTERACTION}：
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_WAVE,揮動：
OPTIONPANEL_KEYBOARD_WAVE_CONTENT,Enter（或Space）
OPTIONPANEL_KEYBOARD_BAG,揹包：
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,選項界面：
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
OPTIONPANEL_KEYBOARD_YES,是：
OPTIONPANEL_KEYBOARD_YES_CONTENT,Y
OPTIONPANEL_KEYBOARD_NO,否：
OPTIONPANEL_KEYBOARD_NO_CONTENT,N
OPTIONPANEL_ABOUT,關於
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,遊戲名稱：{NAME_GAME_NAME}。
OPTIONPANEL_ABOUT_VERSION,版本：%s。
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,描述：%s。
OPTIONPANEL_ABOUT_CONTACT,聯繫：%s。
OPTIONPANEL_ABOUT_CONTACT_COPY,複製
OPTIONPANEL_ABOUT_THANKS,感謝：感謝我的家人們，沒有他們的支持，就沒有這款遊戲。
LANGUAGEPANEL_COMMONLABEL31TITLE,選擇語言
TIME_YEAR,年
TIME_MONTH,月
TIME_DAY,日
TIME_HOUR,時
TIME_MINUTE,分
TIME_SECOND,秒
BOOTSCENE_STARTING_STRING1,啓動中
BOOTSCENE_STARTING_STRING2,啓動中.
BOOTSCENE_STARTING_STRING3,啓動中..
BOOTSCENE_STARTING_STRING4,啓動中...
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,天數 %s
DAYNIGHTPANEL_FIRSTSTARTNIGHT,天要黑了。
CURRENTSCENESHOWNAME_ENTER,進入%s。
DOWNPANEL_INTERACTION,交互
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13BAGUSE,使用
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13DISCARD,扔掉
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD,扔掉嗎？
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_1,灰飛煙滅，看後即焚。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_2,已清除。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_3,乾淨了。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_4,空。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_5,空空。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_6,空空空。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_7,空空，空空，空空。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_8,空，空空空，空空。
IN_CD,冷卻中。
AVATAR_CAN_NOT_MOVE,移動不了。
AVATAR_HAD_EQUIP,已經佩戴：%s。
AVATAR_HAD_EQUIP2,已經佩戴。
CHESSPANEL1_PLAYCHESS_START,{PLAY_CHESS_NAME}開始
CHESSPANEL1_PLAYCHESS_SUCCESS,{PLAY_CHESS_NAME}成功
