stringKey,stringContent
NAME_GAME_NAME,Descripción del grupo de transeuntes - uno por ciento de sueño
NAME_1,Tierra de placer
NAME_2,AMan
NAME_2_EYE,Ojo de Aman
NAME_AVATAR_1,Rayo uno
NAME_AVATAR_2,JunShi
NAME_AVATAR_3,apellido
NAME_AVATAR_4,Bai Ding
NAME_AVATAR_5,JiFeng
NAME_AVATAR_6,Rayo número 2
NAME_AVATAR_7,Rayo número tres
NAME_AVATAR_8,Cuello torcido
NAME_AVATAR_9,Diosa del sol
NAME_AVATAR_10,Pegajoso y flotante
NAME_AVATAR_11,Pegajoso y pegajoso
NAME_AVATAR_12,Pegajoso como
NAME_AVATAR_13,Amor pegajoso
NAME_AVATAR_14,pegajoso
NAME_AVATAR_15,pegajoso
NAME_AVATAR_16,pegajoso
NAME_AVATAR_17,pegajoso
NAME_AVATAR_18,Corazón occidental cálido
NAME_AVATAR_19,Princesa pelo hermana
NAME_AVATAR_19_2,En el otoño de uwajimaya
NAME_AVATAR_20,Dragón plateado
NAME_AVATAR_21,pegajoso
NAME_AVATAR_22,Año sticky
NAME_AVATAR_23,Reparación pegajosa
NAME_AVATAR_24,Pegajoso como
NAME_AVATAR_25,dorado
NAME_AVATAR_26,Ven a la reina
NAME_AVATAR_27,Princesa mi hermana
NAME_AVATAR_28,mayordomo
NAME_AVATAR_29,charlatán
NAME_AVATAR_30,mochila
NAME_AVATAR_31,libreta
NAME_AVATAR_32,La carta de {NAME_AVATAR_19}
NAME_AVATAR_33,Tres dragones
NAME_AVATAR_34,La carta de {NAME_AVATAR_33}
NAME_AVATAR_35,tonto
NAME_AVATAR_36,"Carmelo,"
NAME_AVATAR_SHEEP,ovejas
NAME_AVATAR_HOLLY,acebo
GOODS_NAME_1,Alpargatas de exploración
GOODS_NAME_2,telescopio
GOODS_NAME_3,La peluca
GOODS_NAME_4,La peluca
GOODS_NAME_5,La peluca
GOODS_NAME_6,La peluca
GOODS_NAME_7,Postizas largas
GOODS_NAME_8,Postizas largas
GOODS_NAME_9,Postizas largas
GOODS_NAME_10,Postizas largas
GOODS_NAME_11,Cambio de color peluca
GOODS_NAME_HOUSEKEEPERKEY,Clave para {NAME_AVATAR_28}
GOODS_NAME_BUTLERKEY,Claves para {NAME_AVATAR_29}
GOODS_NAME_QUEENKEY,Clave para {NAME_AVATAR_26}
GOODS_NAME_NUMBERINGROD,Número de barras
GOODS_DESCRIPTION_1,"Con estos zapatos, puede caminar automáticamente."
GOODS_DESCRIPTION_2,"Mira más lejos, especialmente en lugares mal iluminados."
GOODS_DESCRIPTION_3,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_4,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_5,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_6,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_7,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_8,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_9,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_10,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_11,"La mochila puede llevar muchas cosas, viaje de aventura, una herramienta esencial para el senderismo."
GOODS_DESCRIPTION_12,"Grabar lo que se ve, se oye, se encuentra y se siente en el camino."
GOODS_DESCRIPTION_18,{JOB_LOBBYIST}. Fabricado con materiales especiales.
GOODS_DESCRIPTION_HOUSEKEEPERKEY,"Cuando se lleva, puede abrir {DOOR_1}."
GOODS_DESCRIPTION_BUTLERKEY,"Cuando se lleva, puede abrir {DOOR_2}."
GOODS_DESCRIPTION_QUEENKEY,"Cuando se lleva, se puede abrir la puerta de {SCENE_NAME_HALL_OF_MELODY}."
GOODS_DESCRIPTION_NUMBERINGROD,Número de disparo.
GOODS_IN_USE,En uso.
GOODS_UNUSED,Sin usar.
GOODS_TELESCOPE_VISUALFIELDDISTANCE,Distancia de la vista: %s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE,Forma del campo de visión: %s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_RHOMBUS,rombo
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_EGG,DanXing
GOODS_TELESCOPE_VISUALFIELDDISTANCE2,Distancia de la vista: %s (+%s).
JOB_LOBBYIST,intrigador
PLAY_CHESS_NAME,DuiYi
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} puntos
SCENE_NAME_1_HOME,Inicio de {NAME_AVATAR_1}
SCENE_NAME_3_HOME,Inicio de {NAME_AVATAR_3}
SCENE_NAME_4_HOME,Inicio de {NAME_AVATAR_4}
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} patio de la casa
SCENE_NAME_CHORD_SQUARE,Plaza de acordes
SCENE_NAME_STAVE_AVENUE,Avenida de pautas
SCENE_NAME_HALL_OF_MELODY,Salón melódico
SCENE_NAME_CLINKER_VALLEY,Paseo por el cañón sonoro
SCENE_NAME_CRACKING_VOICE_RIDGE,Cresta de sonido roto
SCENE_NAME_GRASSLAND,Campo de fútbol
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} puertas de casa
NPCARTICLETRIGGER_NAME_2,{NAME_AVATAR_3} puertas de casa
NPCARTICLETRIGGER_NAME_3,{NAME_AVATAR_4} puertas de casa
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Cargar el juego
STARTGAMEPANEL_STARTGAME,Empezar el juego
STARTGAMEPANEL_CONTINUEGAME,Continuar el juego
STARTGAMEPANEL_COMMONBUTTON31OPTION,La opción
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Salir del juego
STARTGAMEPANEL_COMMONLABELARCHIVE,El archivo
STARTGAMEPANEL_ARCHIVE_NEW_GAME,El nuevo juego
STARTGAMEPANEL_ARCHIVE_CLEAR,borrar
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,Eliminar archivo %s segunda confirmación
PANEL_BUTTON_OK,Determinar
PANEL_BUTTON_CANCEL,Cancelación
PANEL_BUTTON_CLOSE,Cierre
PANEL_BUTTON_YES,Sí
PANEL_BUTTON_NO,No
OPTIONPANEL_COMMONLABEL31TITLE,Interfaz de opciones
OPTIONPANEL_COMMONBUTTONLANGUAGE,Seleccione el idioma (idioma)
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,Resolución de imagen:
OPTIONPANEL_COMMONLABELFULLSCREEN,Pantalla completa:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,La imagen se estira:
OPTIONPANEL_COMMONLABELMUSIC,Música:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,Efectos de sonido:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_SCREEN_RESOLUTION,Resolución de pantalla
OPTIONPANEL_COMMONLABELLANGUAGE,Idioma:
OPTIONPANEL_COMMONBUTTONDEFAULT,Por omisión
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,Volver al lobby
OPTIONPANEL_COMMONBUTTONEXITGAME,Salir del juego
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,Volver al juego
OPTIONPANEL_GENERAL,General
OPTIONPANEL_KEYBOARD,La pulsación
OPTIONPANEL_KEYBOARD_MOVE,En movimiento:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW (o ←→↓↑)
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_INTERACTION} :
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_WAVE,Agitación:
OPTIONPANEL_KEYBOARD_WAVE_CONTENT,Entrar (o espacio)
OPTIONPANEL_KEYBOARD_BAG,Mochila:
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,Interfaz de opciones:
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
OPTIONPANEL_KEYBOARD_YES,Sí:
OPTIONPANEL_KEYBOARD_YES_CONTENT,Y
OPTIONPANEL_KEYBOARD_NO,No:
OPTIONPANEL_KEYBOARD_NO_CONTENT,N
OPTIONPANEL_ABOUT,Sobre
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,Nombre del juego: {NAME_GAME_NAME}.
OPTIONPANEL_ABOUT_VERSION,Versión: %s.
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,Descripción: %s.
OPTIONPANEL_ABOUT_CONTACT,Contacto: %s.
OPTIONPANEL_ABOUT_CONTACT_COPY,copiar
OPTIONPANEL_ABOUT_THANKS,"Gracias: a la gente de mi familia, sin su apoyo, este juego no habría existido."
LANGUAGEPANEL_COMMONLABEL31TITLE,Seleccione su idioma
TIME_YEAR,en
TIME_MONTH,de
TIME_DAY,el
TIME_HOUR,cuando
TIME_MINUTE,las
TIME_SECOND,segundos
BOOTSCENE_STARTING_STRING1,Inicio en proceso
BOOTSCENE_STARTING_STRING2,En marcha.
BOOTSCENE_STARTING_STRING3,En el inicio..
BOOTSCENE_STARTING_STRING4,En el inicio...
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,Días %s
DAYNIGHTPANEL_FIRSTSTARTNIGHT,Está oscureciendo.
CURRENTSCENESHOWNAME_ENTER,Introduzca el %s.
DOWNPANEL_INTERACTION,Interacción
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13BAGUSE,El uso de
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13DISCARD,tirar
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD,¿Tirar?
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_1,La ceniza se apagó y se quemó después de ver.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_2,Despejado.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_3,Limpio.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_4,Vacía.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_5,Vacío.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_6,Vacío vacío.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_7,"Vacío, vacío, vacío."
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_8,"Vacío, vacío, vacío."
IN_CD,Enfriado.
AVATAR_CAN_NOT_MOVE,No se puede mover.
AVATAR_HAD_EQUIP,Ya usado: %s.
AVATAR_HAD_EQUIP2,Ya lleva eso.
CHESSPANEL1_PLAYCHESS_START,{PLAY_CHESS_NAME} comienza
CHESSPANEL1_PLAYCHESS_SUCCESS,{PLAY_CHESS_NAME} éxito
CHESSPANEL1_PLAYCHESS_FAILURE,{PLAY_CHESS_NAME} falla
CHESSPANEL1_COMMONBUTTONCONTINUE,continuar
CHESSPANEL1_MOUSECLICKCONTINUE,(haga clic en cualquier lugar del ratón para continuar)
CHESSPANEL1_POINTS,%s puntos de juego: %s.
SLOGAN_NEW_DAY_1,Empieza un nuevo día.
SLOGAN_NEW_DAY_2,Comienza el día de la aventura.
SLOGAN_NEW_DAY_3,Un nuevo día.
SLOGAN_NEW_DAY_4,Un día de aventura.
SLOGAN_NEW_DAY_5,Muy lejos.
SLOGAN_NEW_DAY_6,"Largo camino, listo para ir."
SLOGAN_NEW_DAY_7,Prepárate.
SLOGAN_NEW_DAY_8,Vamos.
SLOGAN_AVATAR_DEAD_1,La noche devora a los que no temen a la oscuridad.
SLOGAN_AVATAR_DEAD_2,Se oscurece y la noche te consume.
NAVIGATIONMANAGER_NOT_VALID_PATH_END_POSITION,Destino no válido.
NAVIGATIONMANAGER_END_OBSTRUCTIONS_NEARBY,Stop autowayfinder. Hay obstáculos cercanos.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_1,¿Un zapato para un par de zapatos?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_2,El pie izquierdo y el pie derecho son un zapato?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_3,¿Dónde colocar la batería?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_4,Interruptor no encontrado.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_5,¿Dónde está el interruptor?
