stringKey,stringContent
NAME_GAME_NAME,واحد في المئة من الطرق
NAME_1,أرض السعادة
NAME_2,AMan
NAME_2_EYE,عين آمان
NAME_AVATAR_1,لايتنج 1
NAME_AVATAR_2,فرق
NAME_AVATAR_3,تشن شياو مينغ
NAME_AVATAR_4,Bai Ding
NAME_AVATAR_5,سيارات مثيرة
NAME_AVATAR_6,لايتنج 2
NAME_AVATAR_7,لايتنج 3
NAME_AVATAR_8,ليجي
NAME_AVATAR_9,إلهة الشمس
NAME_AVATAR_10,إلصاق
NAME_AVATAR_11,! لزجة
NAME_AVATAR_12,لزجة …
NAME_AVATAR_13,حب لزج
NAME_AVATAR_14,مفرغة
NAME_AVATAR_15,سرقة لزجة
NAME_AVATAR_16,لزجة؟
NAME_AVATAR_17,لزجة
NAME_AVATAR_18,الغرب دافئ
NAME_AVATAR_19,. الأميرة
NAME_AVATAR_19_2,خريف يو
NAME_AVATAR_20,الفضة التنين
NAME_AVATAR_21,! لزجة
NAME_AVATAR_22,سنة لزجة
NAME_AVATAR_23,اللصق
NAME_AVATAR_24,لزجة …
NAME_AVATAR_25,أي ملك
NAME_AVATAR_26,تعالي يا إمبراطورة
NAME_AVATAR_27,(الأميرة (ميمي
NAME_AVATAR_28,مدبرة المنزل
NAME_AVATAR_29,مدبرة منزل
NAME_AVATAR_30,حقيبة ظهر
NAME_AVATAR_31,دفتر مذكرات
NAME_AVATAR_32,. رسالة من
NAME_AVATAR_33,ثلاثة تنانين
NAME_AVATAR_34,. رسالة من
NAME_AVATAR_35,كيم كيم)؟
NAME_AVATAR_36,الممرات السرية
NAME_AVATAR_SHEEP,الأغنام
NAME_AVATAR_HOLLY,شجرة الشتوي
GOODS_NAME_1,أحذية استكشافية
GOODS_NAME_2,المنظار
GOODS_NAME_3,شعر مستعار
GOODS_NAME_4,شعر مستعار
GOODS_NAME_5,شعر مستعار
GOODS_NAME_6,شعر مستعار
GOODS_NAME_7,شعر طويل
GOODS_NAME_8,شعر طويل
GOODS_NAME_9,شعر طويل
GOODS_NAME_10,شعر طويل
GOODS_NAME_11,شعر مستعار متغير
GOODS_NAME_HOUSEKEEPERKEY,. المفتاح المفتاح
GOODS_NAME_BUTLERKEY,. المفتاح
GOODS_NAME_QUEENKEY,. المفتاح المفتاح
GOODS_NAME_NUMBERINGROD,عصا الترقيم
GOODS_DESCRIPTION_1,مع هذا الزوج من الأحذية يمكن المشي تلقائيا.
GOODS_DESCRIPTION_2,أبعد من ذلك، وخاصة في الأماكن التي يكون فيها الضوء سيئا.
GOODS_DESCRIPTION_3,. أجل، أجل، أجل -
GOODS_DESCRIPTION_4,. أجل، أجل، أجل -
GOODS_DESCRIPTION_5,. أجل، أجل، أجل -
GOODS_DESCRIPTION_6,. أجل، أجل، أجل -
GOODS_DESCRIPTION_7,. أجل، أجل، أجل -
GOODS_DESCRIPTION_8,. أجل، أجل، أجل -
GOODS_DESCRIPTION_9,. أجل، أجل، أجل -
GOODS_DESCRIPTION_10,. أجل، أجل، أجل -
GOODS_DESCRIPTION_11,فحقيبة الظهر تحمل الكثير من الاشياء، المغامرات، الادوات الضرورية للتنزه.
GOODS_DESCRIPTION_12,تسجيل ما يرونه، ما يرونه، وما يرونه، وما يرونه، وما يرونه، وما يرونه.
GOODS_DESCRIPTION_18,. أجل، أجل، أجل - مصنوعة من مواد خاصة.
GOODS_DESCRIPTION_HOUSEKEEPERKEY,عندما تحمله، يمكنك فتح {ooror.
GOODS_DESCRIPTION_BUTLERKEY,عندما تحمله، يمكنك فتحه.
GOODS_DESCRIPTION_QUEENKEY,عندما تحمل، يمكنك فتح الباب.
GOODS_DESCRIPTION_NUMBERINGROD,رقمها
GOODS_IN_USE,الاستخدام.
GOODS_UNUSED,غير مستخدم.
GOODS_TELESCOPE_VISUALFIELDDISTANCE,المسافة الرؤية: %s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE,شكل الرؤية: %s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_RHOMBUS,المعين
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_EGG,DanXing
GOODS_TELESCOPE_VISUALFIELDDISTANCE2,مسافة الرؤية: %s (+ %s).
JOB_LOBBYIST,الضاغط
PLAY_CHESS_NAME,DuiYi
PLAY_CHESS_POINTS,. أعد العد
SCENE_NAME_1_HOME,. في المنزل
SCENE_NAME_3_HOME,. في المنزل
SCENE_NAME_4_HOME,. في المنزل
SCENE_NAME_3_HOME_COURTYARD,في ساحة المنزل
SCENE_NAME_CHORD_SQUARE,ميدان الوتر
SCENE_NAME_STAVE_AVENUE,جادة الخمسة
SCENE_NAME_HALL_OF_MELODY,قاعة اللحن
